document_id,length,extracted_mentions,candidate_entities,duplicate_removal_candidate_entities,linked_mentions,total_running_time,cut_words_time1,cut_words_time2,get_obj_property,calculate_sim,append_mentions_time,get_entity_time,access_db_time,access_db_times
1,17,2,2,2,1,0.6377,0.0078,0.0000,0.0000,0.0000,0.0001,0.0001,0.6294,35
2,56,4,4,4,4,3.9537,0.0129,0.0000,0.0000,0.0000,0.0001,0.0001,3.9400,67
3,123,4,4,4,3,3.1767,0.0070,0.0000,0.0000,0.0000,0.0002,0.0001,3.1688,39
4,65,1,1,1,1,0.0051,0.0047,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0
5,113,2,2,2,1,0.3986,0.0054,0.0000,0.0000,0.0000,0.0001,0.0001,0.3927,10
6,55,3,3,3,3,2.7834,0.0045,0.0000,0.0000,0.0000,0.0001,0.0001,2.7779,51
7,129,2,2,2,2,0.0075,0.0069,0.0000,0.0000,0.0000,0.0001,0.0001,0.0002,0
8,41,1,1,1,1,0.0041,0.0037,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0
9,37,1,1,1,1,0.0039,0.0036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0
10,37,3,3,3,2,0.9623,0.0037,0.0000,0.0000,0.0000,0.0001,0.0001,0.9580,14
11,49,1,1,1,1,0.0046,0.0043,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0
12,18,1,1,1,1,0.0036,0.0032,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0
13,71,5,5,3,4,0.7348,0.0048,0.0000,0.0000,0.0000,0.0002,0.0001,0.7293,14
14,21,2,2,2,2,0.0069,0.0036,0.0000,0.0000,0.0000,0.0001,0.0001,0.0002,0
15,37,1,1,1,1,0.0046,0.0042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0
16,124,2,3,3,1,0.9769,0.0068,0.0000,0.0000,0.0000,0.0001,0.0000,0.9695,24
17,140,3,3,3,3,0.9292,0.0106,0.0000,0.0000,0.0000,0.0001,0.0001,0.9179,15
18,77,3,3,3,2,3.8365,0.0073,0.0000,0.0000,0.0000,0.0001,0.0001,3.8285,25
19,76,1,1,1,1,0.0098,0.0094,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0
20,113,5,5,5,3,3.4700,0.0060,0.0000,0.0000,0.0000,0.0002,0.0001,3.4631,39
